supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
32,Nondurable goods,2023,Q2,2,2,1,4854.666666666667,29.563333333333333,8.487695720627215,3.386534854720251,11.874230575347466,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2023,Q3,3,3,1,4837.333333333333,29.97,8.484118883686808,3.400196881328572,11.88431576501538,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2023,Q4,4,4,1,4844.0,30.136666666666667,8.485496104672983,3.405742592081165,11.891238696754147,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2024,Q1,1,5,1,4847.666666666667,30.23333333333333,8.486252768509601,3.408945068452981,11.895197836962582,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2024,Q2,2,6,1,4845.0,30.473333333333333,8.485702524324866,3.4168519842354885,11.902554508560357,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2024,Q3,3,7,1,4841.666666666667,30.766666666666666,8.485014293052002,3.4264318528406967,11.9114461458927,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2024,Q4,4,8,1,4820.333333333333,30.986666666666668,8.480598360946683,3.4335570044354915,11.914155365382172,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2025,Q1,1,9,1,4813.0,31.336666666666662,8.47907586930311,3.4447888709223498,11.92386474022546,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2025,Q2,2,10,1,4806.0,31.62333333333333,8.477620416296414,3.453895244736676,11.93151566103309,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2025,Q3,3,11,1,4795.0,31.85,8.475328987317539,3.4610373820181723,11.936366369335712,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2025,Q4,4,12,1,4790.666666666667,32.343333333333334,8.4744248595653,3.4764079203690983,11.950832779934398,3,0,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2026,Q1,1,13,1,4775.0,32.65,8.471149252914831,3.48584485572244,11.956994108637272,3,1,-0.8223428571428572,-1.1735201913877908,35
32,Nondurable goods,2026,Q2,2,14,1,4770.0,32.83,8.470101583882387,3.4913427315135013,11.961444315395887,1,1,-0.8223428571428572,-1.1735201913877908,35
40,"Trade, transportation, and utilities",2017,Q1,1,-23,0,27307.666666666668,22.540000000000003,10.21492277202844,3.11529150861163,13.33021428064007,3,0,0.13299999999999998,0.08983123882517405,3
40,"Trade, transportation, and utilities",2017,Q2,2,-22,0,27309.666666666668,22.64,10.214996008851946,3.119718253334982,13.334714262186928,3,0,0.13299999999999998,0.08983123882517405,3
40,"Trade, transportation, and utilities",2017,Q3,3,-21,0,27337.666666666668,22.776666666666667,10.21602076159805,3.1257366201245773,13.341757381722628,3,0,0.13299999999999998,0.08983123882517405,3
40,"Trade, transportation, and utilities",2017,Q4,4,-20,0,27398.0,22.87333333333333,10.218225297011337,3.129971748762194,13.348197045773528,3,0,0.13299999999999998,0.08983123882517405,3
40,"Trade, transportation, and utilities",2018,Q1,1,-19,0,27445.33333333333,23.006666666666664,10.219951426413362,3.135784029001748,13.35573545541511,3,0,0.13299999999999998,0.08983123882517405,3
